image,bbox,cx,cy,w,h,class_name,image_id,class_id,SL_P1_x,SL_P1_y,SL_P2_x,SL_P2_y,lat,long,height,time,points
shanghai_view2_569.png,0.445 0.585 0.065 0.135,0.445,0.585,0.065,0.135,building,21417,0,0.7825,1.095,0.7525,0.94,31.28671929523322,121.54923336495686,6,2017-06-06-6,"((165, 207), (191, 261))"
changchun_view2_104.png,0.25875 0.72125 0.1175 0.1275,0.25875,0.72125,0.1175,0.1275,building,30440,0,0.4675,1.2625,0.44,1.2375,43.85853300083607,125.2912866094483,12,2017-04-02-6,"((79, 263), (126, 314))"
shanghai_view1_744.png,0.16125 0.13375 0.2125 0.2675,0.16125,0.13375,0.2125,0.2675,building,4459,0,0.3725,0.24,0.3725,0.2025,31.28671929523322,121.61211543484522,24,2015-12-06-6,"((22, 0), (107, 107))"
shanghai_view1_245.png,0.27375 0.47875 0.0875 0.0625,0.27375,0.47875,0.0875,0.0625,building,3997,0,0.4775,0.86,0.465,0.81,31.294395798503785,121.43245237802132,27,2015-12-06-6,"((92, 179), (127, 204))"
bejing_view2_1027.png,0.95125 0.321875 0.0925 0.07625,0.95125,0.321875,0.0925,0.07625,building,41157,0,0.82625,0.29375,0.82625,0.27875,39.953254681930254,116.39612911254297,18,2016-03-06-6,"((362, 113), (399, 144))"
shanghai_view1_679.png,0.63375 0.8625 0.2525 0.205,0.63375,0.8625,0.2525,0.205,building,4391,0,1.135,1.4225,1.14,1.415,31.171496787503298,121.59414912916282,6,2015-12-06-6,"((203, 304), (304, 386))"
changchun_view1_193.png,0.91 0.49375 0.1 0.1475,0.91,0.49375,0.1,0.1475,building,17319,0,1.555,0.875,1.5325,0.7275,43.8909108408738,125.34518552649548,21,2016-04-20-6,"((344, 168), (384, 227))"
nanjing_view2_103.png,0.415 0.5475 0.16 0.1,0.415,0.5475,0.16,0.1,building,873,0,0.7475,0.965,0.7375,0.91,31.986486363012823,118.77828368412784,6,2015-07-15-6,"((134, 199), (198, 239))"
dongguan_view2_150.png,0.44875 0.07125 0.0875 0.0925,0.44875,0.07125,0.0875,0.0925,building,16521,0,0.7675,0.13,0.7525,0.07,23.09158287634624,113.759132066977,30,2018-09-01-6,"((162, 9), (197, 47))"
changchun_view2_141.png,0.8325 0.0325 0.105 0.065,0.8325,0.0325,0.105,0.065,building,30461,0,1.46,0.065,1.4675,0.02,43.82613756941159,125.3182360679719,15,2017-04-02-6,"((312, 0), (354, 26))"
changsha_view2_109.png,0.48625 0.215 0.0925 0.43,0.48625,0.215,0.0925,0.43,building,40522,0,0.88,0.1475,0.885,0.125,28.21184893426382,113.02219115337527,6,2017-08-07-6,"((176, 0), (213, 172))"
bejing_view2_1168.png,0.9575 0.405 0.085 0.07,0.9575,0.405,0.085,0.07,building,41305,0,0.82,0.36,0.82375,0.33125,39.82229171544569,116.43206172390776,18,2016-03-06-6,"((366, 148), (400, 176))"
changsha_view2_105.png,0.27875 0.395 0.1325 0.09,0.27875,0.395,0.1325,0.09,building,40518,0,0.54,0.7075,0.5275,0.65,28.18018021943129,113.02219115337527,6,2017-08-07-6,"((85, 140), (138, 176))"
dongguan_view2_143.png,0.88625 0.76625 0.1125 0.1025,0.88625,0.76625,0.1125,0.1025,building,16520,0,1.505,1.3525,1.4675,1.29,23.03372653180558,113.759132066977,27,2018-09-01-6,"((332, 286), (377, 327))"
bejing_view1_1185.png,0.21125 0.051875 0.0625 0.10375,0.21125,0.051875,0.0625,0.10375,building,34624,0,0.19,0.02875,0.185,0.0025,39.93948088931808,116.43206172390776,6,2015-06-06-6,"((72, 0), (97, 41))"
changchun_view1_181.png,0.9575 0.48125 0.085 0.1275,0.9575,0.48125,0.085,0.1275,building,17312,0,1.715,0.795,1.695,0.7525,43.90385705112481,125.33620237365427,18,2016-04-20-6,"((366, 167), (400, 218))"
changchun_view2_128.png,0.44875 0.13375 0.1175 0.0825,0.44875,0.13375,0.1175,0.0825,building,30453,0,0.855,0.2325,0.855,0.1625,43.83261806296914,125.3092529151307,15,2017-04-02-6,"((156, 37), (203, 70))"
shanghai_view2_739.png,0.1975 0.0375 0.18 0.075,0.1975,0.0375,0.18,0.075,building,21596,0,0.285,0.07,0.2675,0.0375,31.248327404688023,121.61211543484522,27,2017-06-06-6,"((43, 0), (115, 30))"
dongguan_view1_244.png,0.15875 0.325 0.1175 0.13,0.15875,0.325,0.1175,0.13,building,1098,0,0.29,0.6275,0.205,0.4975,23.025459310020874,113.81303098402417,6,2017-10-01-6,"((40, 104), (87, 156))"
changchun_view2_106.png,0.9325 0.1475 0.135 0.19,0.9325,0.1475,0.135,0.19,building,30441,0,1.5725,0.1525,1.5475,0.125,43.871486247861846,125.2912866094483,9,2017-04-02-6,"((346, 21), (400, 97))"
bejing_view2_1154.png,0.390625 0.4825 0.11875 0.1825,0.390625,0.4825,0.11875,0.1825,building,41292,0,0.365,0.4325,0.33625,0.35125,40.00144111508411,116.42307857106655,6,2016-03-06-6,"((132, 156), (180, 229))"
shanghai_view1_681.png,0.89 0.92375 0.105 0.0675,0.89,0.92375,0.105,0.0675,building,4394,0,1.5475,1.635,1.5525,1.5675,31.18686790376216,121.59414912916282,18,2015-12-06-6,"((335, 356), (377, 383))"
changchun_view1_116.png,0.525 0.29625 0.09 0.0525,0.525,0.29625,0.09,0.0525,building,17264,0,0.925,0.54,0.9225,0.505,43.84557693918815,125.3002697622895,15,2016-04-20-6,"((192, 108), (228, 129))"
shanghai_view1_427.png,0.0725 0.2375 0.145 0.27,0.0725,0.2375,0.145,0.27,building,4175,0,0.12,0.255,0.1025,0.19,31.15612317623464,121.50431760075088,24,2015-12-06-6,"((0, 41), (57, 149))"
shanghai_view2_172.png,0.81875 0.2575 0.0975 0.105,0.81875,0.2575,0.0975,0.105,building,21068,0,1.4,0.4275,1.3925,0.38,31.30974692951097,121.40550291949772,6,2017-06-06-6,"((308, 82), (347, 124))"
changsha_view2_119.png,0.09875 0.05 0.0975 0.1,0.09875,0.05,0.0975,0.1,building,40528,0,0.175,0.0675,0.0925,0.015,28.140581135278964,113.03117430621649,27,2017-08-07-6,"((20, 0), (59, 40))"
shanghai_view1_11.png,0.87375 0.9425 0.0475 0.055,0.87375,0.9425,0.0475,0.055,building,3848,0,1.5275,1.655,1.5225,1.635,31.22528477414182,121.35160400245056,24,2015-12-06-6,"((340, 366), (359, 388))"
shanghai_view1_233.png,0.0375 0.96125 0.06 0.0725,0.0375,0.96125,0.06,0.0725,building,3984,0,0.0825,1.7175,0.0475,1.6275,31.202236524310003,121.43245237802132,27,2015-12-06-6,"((3, 370), (27, 399))"
changsha_view1_123.png,0.7675 0.755 0.115 0.065,0.7675,0.755,0.115,0.065,building,33757,0,1.345,1.35,1.32,1.2875,28.17226157474012,113.03117430621649,6,2015-04-14-6,"((284, 289), (330, 315))"
shanghai_view1_463.png,0.15875 0.12375 0.1425 0.2075,0.15875,0.12375,0.1425,0.2075,building,4206,0,0.285,0.3175,0.215,0.0775,31.24064715234988,121.51330075359208,15,2015-12-06-6,"((35, 8), (92, 91))"
shanghai_view1_130.png,0.14875 0.385 0.0925 0.09,0.14875,0.385,0.0925,0.09,building,3870,0,0.28,0.66,0.2625,0.625,31.179182657552804,121.39651976665652,18,2015-12-06-6,"((41, 136), (78, 172))"
changchun_view2_17.png,0.77375 0.97 0.1275 0.06,0.77375,0.97,0.1275,0.06,building,30477,0,1.385,1.71,1.3975,1.6725,43.83909785289683,125.23738769240111,15,2017-04-02-6,"((284, 376), (335, 400))"
shanghai_view1_12.png,0.7825 0.635 0.085 0.08,0.7825,0.635,0.085,0.08,building,3859,0,1.3725,1.1125,1.355,1.0575,31.23296627547205,121.35160400245056,6,2015-12-06-6,"((296, 238), (330, 270))"
dongguan_view2_58.png,0.12 0.5075 0.085 0.145,0.12,0.5075,0.085,0.145,building,16536,0,0.2125,0.845,0.18,0.805,23.03372653180558,113.71421630277102,6,2018-09-01-6,"((31, 173), (65, 231))"
shanghai_view1_770.png,0.55875 0.3925 0.0675 0.075,0.55875,0.3925,0.0675,0.075,building,4483,0,0.9825,0.7225,0.985,0.665,31.294395798503785,121.62109858768642,6,2015-12-06-6,"((210, 142), (237, 172))"
shanghai_view2_114.png,0.94875 0.73125 0.1025 0.1575,0.94875,0.73125,0.1025,0.1575,building,21013,0,1.7,1.22,1.705,1.1875,31.248327404688023,121.38753661381531,24,2017-06-06-6,"((359, 261), (400, 324))"
shanghai_view2_368.png,0.3225 0.6675 0.125 0.125,0.3225,0.6675,0.125,0.125,building,21210,0,0.56,1.1775,0.5125,1.1275,31.27904216690052,121.47736814222728,21,2017-06-06-6,"((104, 242), (154, 292))"
bejing_view1_1151.png,0.73 0.04 0.1225 0.055,0.73,0.04,0.1225,0.055,building,34590,0,0.63625,0.02625,0.63625,0.01875,39.98079394713277,116.42307857106655,15,2015-06-06-6,"((267, 5), (316, 27))"
shanghai_view2_74.png,0.65875 0.2425 0.1775 0.1,0.65875,0.2425,0.1775,0.1,building,21597,0,1.0975,0.45,1.0925,0.405,31.32509555922753,121.36957030813294,6,2017-06-06-6,"((228, 77), (299, 117))"
shanghai_view1_785.png,0.3625 0.22125 0.11 0.1325,0.3625,0.22125,0.11,0.1325,building,4496,0,0.64,0.3875,0.6275,0.31,31.21760264844648,121.6300817405276,6,2015-12-06-6,"((123, 62), (167, 115))"
bejing_view1_1068.png,0.08625 0.65875 0.1225 0.075,0.08625,0.65875,0.1225,0.075,building,34506,0,0.08875,0.575,0.0975,0.55,39.96014053827807,116.40511226538416,15,2015-06-06-6,"((10, 248), (59, 278))"
changchun_view1_13.png,0.4725 0.07625 0.06 0.0625,0.4725,0.07625,0.06,0.0625,building,17273,0,0.8375,0.145,0.8475,0.1,43.90385705112481,125.22840453955992,21,2016-04-20-6,"((177, 18), (201, 43))"
shanghai_view1_252.png,0.08625 0.45 0.1525 0.175,0.08625,0.45,0.1525,0.175,building,4004,0,0.2025,0.745,0.1825,0.7125,31.15612317623464,121.44143553086252,18,2015-12-06-6,"((4, 145), (65, 215))"
bejing_view2_1076.png,0.966875 0.184375 0.06625 0.05375,0.966875,0.184375,0.06625,0.05375,building,41210,0,0.855,0.16125,0.85375,0.15,40.01520242615726,116.40511226538416,6,2016-03-06-6,"((373, 63), (400, 84))"
bejing_view2_102.png,0.133125 0.7725 0.09375 0.0525,0.133125,0.7725,0.09375,0.0525,building,41149,0,0.13,0.6825,0.125,0.65625,39.91881500105438,116.18951659719546,18,2016-03-06-6,"((34, 298), (72, 319))"
bejing_view1_1206.png,0.846875 0.53 0.09375 0.0525,0.846875,0.53,0.09375,0.0525,building,34644,0,0.74375,0.47375,0.7375,0.44625,39.808491588799576,116.44104487674896,18,2015-06-06-6,"((320, 201), (357, 222))"
shanghai_view2_580.png,0.84625 0.5325 0.1025 0.11,0.84625,0.5325,0.1025,0.11,building,21429,0,1.4875,1.0,1.44,0.8675,31.179182657552804,121.55821651779806,3,2017-06-06-6,"((318, 191), (359, 235))"
changchun_view2_161.png,0.6775 0.6925 0.12 0.085,0.6775,0.6925,0.12,0.085,building,30473,0,1.235,1.2075,1.235,1.1625,43.86500997617989,125.3272192208131,12,2017-04-02-6,"((247, 260), (295, 294))"
changchun_view1_139.png,0.6825 0.765 0.15 0.065,0.6825,0.765,0.15,0.065,building,17278,0,1.2325,1.3525,1.23,1.3025,43.90385705112481,125.3092529151307,18,2016-04-20-6,"((243, 293), (303, 319))"
shanghai_view2_603.png,0.04 0.3825 0.08 0.185,0.04,0.3825,0.08,0.185,building,21454,0,0.1,0.745,0.0325,0.5,31.163810293701346,121.56719967063924,6,2017-06-06-6,"((0, 116), (32, 190))"
bejing_view2_1152.png,0.11625 0.670625 0.1575 0.06875,0.11625,0.670625,0.1575,0.06875,building,41290,0,0.15875,0.5925,0.1575,0.565,39.9876770299229,116.42307857106655,15,2016-03-06-6,"((15, 254), (78, 282))"
shanghai_view1_140.png,0.28125 0.5275 0.0875 0.07,0.28125,0.5275,0.0875,0.07,building,3881,0,0.475,0.9425,0.4725,0.89,31.25600703239929,121.39651976665652,6,2015-12-06-6,"((95, 197), (130, 225))"
bejing_view2_1015.png,0.451875 0.7725 0.06375 0.05,0.451875,0.7725,0.06375,0.05,building,41144,0,0.39625,0.675,0.39875,0.6575,39.8705703356756,116.39612911254297,18,2016-03-06-6,"((168, 299), (193, 319))"
bejing_view1_1178.png,0.62125 0.1475 0.075 0.1325,0.62125,0.1475,0.075,0.1325,building,34616,0,0.52625,0.09875,0.51625,0.0825,39.891250779177824,116.43206172390776,9,2015-06-06-6,"((233, 32), (263, 85))"
